sk_Datadecadastro,Datadecadastro,ANO,MES,DIA
a3ea638c-0dc1-49e6-9c32-dff2827699a0,15/04/2019,2019,4,15
c16f9d68-68a2-49b2-b8dd-8dbf131a576e,01/07/2019,2019,7,1
cef5b4ce-4acf-490f-bdf2-89424e0d0ae1,10/08/2019,2019,8,10
378812f5-cfed-4309-924e-eebde908dfbf,27/08/2019,2019,8,27
5dd9e143-5bf0-499a-aada-12ff99c2ee46,29/09/2019,2019,9,29
83cb5976-d09f-44e6-878c-0a8da7881146,21/12/2019,2019,12,21
cfe039b2-56a0-4250-a828-62746ff55bbf,06/05/2020,2020,5,6
35bf9ae8-382f-4b1e-829b-02e054c87d7e,17/05/2020,2020,5,17
cd8c5e8f-43c4-4840-87a9-b78af959e445,08/07/2020,2020,7,8
d7dc2ac8-93f8-4f63-9908-b5221e3699a8,11/08/2020,2020,8,11
4d15aefc-6ab8-473c-a0f5-32f36d69a28a,06/10/2020,2020,10,6
35906d93-c99f-4a8c-a73a-cb1ee595334b,03/12/2020,2020,12,3
5595ab3f-25d4-4d89-a4fd-a9d830b71d70,26/01/2021,2021,1,26
b9675c28-5361-4126-af13-8d1d41164a51,12/03/2021,2021,3,12
a89daeea-a761-4735-a266-d20301940d36,21/07/2021,2021,7,21
151e6d3e-18ae-422f-8f4c-79770c959051,03/09/2021,2021,9,3
5b34b5c5-047d-40b2-9466-9e017d99ef47,16/10/2021,2021,10,16
1b10dca2-534d-42f9-a760-667a87c98c72,26/10/2021,2021,10,26
0c522954-3811-44db-bc2d-36a96df0e394,25/11/2021,2021,11,25
8a3865d8-4455-40d0-8fb9-e586f4964d77,12/12/2021,2021,12,12
fe272dbc-ae38-4929-a7ca-fdccb9c8366c,20/12/2021,2021,12,20
2dc3ca13-7fb5-427d-88b8-0e0eadbd94cc,06/02/2022,2022,2,6
814e20a0-41c5-41e6-aec6-33f0b32c822a,21/04/2022,2022,4,21
f80f2cc4-f68a-40f4-9096-5a6f8e30107d,15/05/2022,2022,5,15
1c9fa50a-d056-4033-b170-97dcd8bb74df,27/05/2022,2022,5,27
4acf4dde-5648-465a-a6c5-a5c6475edf0d,29/07/2022,2022,7,29
9883c094-4299-4d33-b81d-68f3ca96a22f,21/10/2022,2022,10,21
7b9e3732-fdfc-43dd-9868-e185008566ca,14/11/2022,2022,11,14
7c419d07-357e-404f-b678-2d07dc6199f6,20/11/2022,2022,11,20
d6c00e71-a50b-4997-a500-f67d41d7640c,27/03/2023,2023,3,27
858535d2-2554-4fbd-bb91-859397586053,05/04/2023,2023,4,5
aa3bb6ce-0963-49f1-9504-7b30fe842929,18/04/2023,2023,4,18
0ae62368-7f6e-4c3b-9451-6f6d76ebd067,08/06/2023,2023,6,8
23a1fd2a-3993-4544-b7d9-33152d4935b2,30/09/2023,2023,9,30
67c32305-c850-4afe-99fe-3518c72fdf43,07/12/2023,2023,12,7
16c01054-c98e-44cf-8fc9-3b15219e9372,16/02/2019,2019,2,16
33fb4907-0bfa-4f68-b86b-0278be93d80d,27/02/2019,2019,2,27
601d7c64-9b14-409c-8473-180f08490580,04/06/2019,2019,6,4
f3a2243c-5eed-407c-96dc-72bdb5d44d19,11/06/2019,2019,6,11
b49cb576-69ec-420b-a903-217f5bfb4cda,05/07/2019,2019,7,5
cbaa8af6-57ba-4e0a-953b-dc8752e34b39,29/07/2019,2019,7,29
481f2283-297c-4077-ad58-6bca28c24df9,03/08/2019,2019,8,3
7c32c63a-e8c2-4710-bb75-16bab6a4124d,13/08/2019,2019,8,13
c5cee62b-8c3e-4f00-8a26-91496a9284e8,17/08/2019,2019,8,17
d9b8f965-d665-44bd-b755-bdfd53e1ee92,18/09/2019,2019,9,18
9650627d-71d2-4e5b-8183-e65e6ff5761d,03/10/2019,2019,10,3
881ccc42-a890-4065-a587-1c3472767312,06/12/2019,2019,12,6
cac658ce-b039-4b96-958b-89da8793fb5f,14/02/2020,2020,2,14
f7c29f8e-428b-4b19-92c6-70ffd3c3405a,03/05/2020,2020,5,3
466f8af5-dc75-4158-88c1-3aedd05a0de8,09/07/2020,2020,7,9
0f264ae0-d59a-4dc0-8f74-f317354be200,11/09/2020,2020,9,11
3d2ab098-78a9-4c68-933e-71de4cd48e78,04/10/2020,2020,10,4
08580987-017d-47c6-a22b-ad95d096f993,27/11/2020,2020,11,27
6ad4f01d-309b-4836-ac7a-e42c850af49c,05/12/2020,2020,12,5
4053a5a9-625c-4bc5-a082-607bd9627078,16/12/2020,2020,12,16
a5b1e033-5198-4b03-bfe8-3118a912b9ff,24/01/2021,2021,1,24
8e51e477-3fa0-4da4-914e-54312fbbc915,13/02/2021,2021,2,13
6bd2d344-58f0-4778-a3cf-d7d4ef58e927,02/04/2021,2021,4,2
7c6a0aaf-aa08-427e-bcdf-ee382d9e1c75,16/09/2021,2021,9,16
821878f5-2c91-48c2-a540-9091b94a08d2,11/11/2021,2021,11,11
d044eb87-fc0f-4132-881a-7b19829d5085,01/12/2021,2021,12,1
9b47efe2-f3d3-4e52-a66b-83ba073d3c4d,30/04/2022,2022,4,30
c2f4abdf-d612-443a-8257-da287ef443f5,07/05/2022,2022,5,7
4b66d8f8-a0d5-419a-8e81-ae6fcc9f7af8,21/09/2022,2022,9,21
2ed4e92e-32f9-434d-9ca9-d6e6abc6dba5,14/10/2022,2022,10,14
464dcde9-8607-43f9-8023-9d5cac07a5b6,16/11/2022,2022,11,16
fe6f6a86-fa67-4fad-8e3b-7bc122eac8ce,22/02/2023,2023,2,22
7287520d-1b27-4aef-8dd7-3e0fd6c9c312,13/06/2023,2023,6,13
ef86c5c8-f3b8-457a-9134-7873cf9515ae,27/12/2023,2023,12,27
54f9b982-0657-4f45-9180-39948366b796,26/02/2019,2019,2,26
0857287e-4cb5-4e2d-a4f4-a3f138f7f097,13/03/2019,2019,3,13
c7fe2d4e-3a45-4885-a4d4-c6114f7f5746,01/04/2019,2019,4,1
b8a8ab8f-b338-4111-a0e8-8a8cbfb2504f,05/05/2019,2019,5,5
a82c10a6-c22f-4991-ab35-09ca7d81d216,18/06/2019,2019,6,18
97da642d-324a-4847-af88-78f5eb622a12,16/07/2019,2019,7,16
c4aa1ea2-0e7a-4a95-ba16-6e5374a0ce71,20/07/2019,2019,7,20
0bba905e-e2ef-41b9-b5ba-a112e2b887f5,05/08/2019,2019,8,5
c8f54713-14ed-4a9a-8b6f-44524edd072c,30/09/2019,2019,9,30
e1361748-9799-479e-b560-7baf5ef78470,27/12/2019,2019,12,27
