sk_Suspeito,Id_suspeito,NaturezaJuridicadoSuspeito,Sexodosuspeito,Orientacaosexualdosuspeito,Faixaetariadosuspeito,Deficienciadosuspeito,Doencararadosuspeito,Suspeitopreso,Pais_do_suspeito,UFdosuspeito,Profissaodosuspeito,Graudeinstrucaodosuspeito,RacaCordosuspeito,SuspeitoEtnia,Faixaderendadosuspeito,VinculoOrgaoPJdosuspeito,sl_suspeito_ramo
986f4569-2967-4441-a6bf-36a9031938c7,63e38f3d-7e9e-4ea2-8f46-e453e280d622,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
0244ae0e-16d2-402e-96c2-f90da9a200c0,ad486b6f-bf78-4612-a220-654473b39cdf,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PRETA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
edaa286e-f0de-43c6-a3f8-d3fa84743034,eb67a713-f9d7-4a02-bae1-44d37870c02f,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,ESTUDANTE,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
3b7d93d1-5f00-441d-a812-41817375f6d9,9661b95f-de37-4a8a-b75d-c0c1808dcf30,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO INFORMADO,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,NÃO INFORMADO,NÃO INFORMADO
4cf09c0f-c41a-4660-aa4c-b17d82eeb703,c1dfa1de-38e4-4f9f-9aa4-e742be293912,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
eaded675-afda-4ea3-98f0-9de69b2b528c,5f1ad3cb-89a3-4b95-a3b3-e0fa58badca6,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
041dd841-d859-4c3c-847a-fa03e0567ff3,2e270dca-dfce-4ced-80bf-cb4fb319e7e3,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
b44cc301-0558-4c61-ba80-508f31cd2de9,8e7f5203-292a-4eab-92a6-a7cae6b6d4c6,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,NÃO INFORMADO,BRASIL,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
df003ee4-cae3-4f35-ab10-79557e3bf4ef,f705fe88-af6b-4898-897c-355df5507ef5,PESSOA FÍSICA,FEMININO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,NÃO,BRASIL,AC,ESTUDANTE,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
1fdb0f54-6c5b-42b7-aaf8-ce951d76febc,c4c13941-ab77-4a2b-98c6-59eb7a4c3710,PESSOA FÍSICA,MASCULINO,NÃO INFORMADO,10 a 19 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,MEDIDA SOCIOEDUCATIVA,BRASIL,AC,NÃO SABE INFORMAR,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
