sk_tipoViolacao,violacao
68b70fd4-9740-4020-89ad-283af779aab3,VIOLENCIA FISICA.LESAO CORPORAL LEVE
726b7b39-520d-4459-8d2e-fa46a7b93b27,VIOLENCIA INSTITUCIONAL.ATENDIMENTO INADEQUADO>VIOLENCIA INSTITUCIONAL.DIFICULDADE DE ACESSO>VIOLENCIA INSTITUCIONAL.NEGLIGENCIA>VIOLENCIA INSTITUCIONAL.OMISSAO NO ATENDIMENTO
c6caeec9-037d-48e0-afac-29cc079f2bb4,VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>HONRA.DIFAMACAO
cca7622e-33db-4da2-a780-4828549727a2,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>AGRESSAO>HONRA.ASSEDIO MORAL SUBJETIVO>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>VIOLACOES>GERAIS.VIOLENCIA CONTRA A LIBERDADE DE EXPRESSAO
237d9be5-e4b9-4c2e-a322-0b64753f6305,VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.INSUBSISTENCIA INTELECTUAL>VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA PSIQUICA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA
be36da02-6db5-4363-b079-fd7f85823b87,VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.TORTURA PSI QUICA>VIOLENCIA>AGRESSAO>DIREITO>LIBERDADE.AUTONOMIA DE VONTADE>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA PSIQUICA>VIOLENCIA>VIOLACOES>GERAIS.VIOLENCIA PATRIMONIAL>VIOLENCIA>VIOLACOES>GERAIS.EXPLORACAO DO TRABALHO IDOSO
70bdb1a3-9673-4c92-9c32-bbb77c14ad52,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.TORTURA FISICA>VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>AGRESSAO>HONRA.INJURIA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA ECONOMICA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA>VIOLENCIA>VIOLACOES>GERAIS.VIOLENCIA PATRIMONIAL>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA PSIQUICA
21fa8960-ec42-4a26-b9e7-f774b1de602e,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA
e1dc88de-7d1c-4d2d-b55e-6b4cc17ee98f,VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>HONRA.INJURIA
ed43d82d-7600-4370-9658-5522a29c141d,VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA
f75e9be6-4ebb-4758-bc1e-209c03fb9955,VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA
6061ebbd-6a57-4e54-921e-b4783614bd94,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>AGRESSAO>HONRA.INJURIA>VIOLENCIA>VIOLACOES>GERAIS.LIBERDADE SEXUAL FISICA > ABUSO SEXUAL FISICO
afb8bece-89c8-47cb-88b0-76e48b208ee2,VIOLENCIA>FISICA.INSUBSISTENCIA INTELECTUAL>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA
d65e4b49-e5d1-4b92-a163-36b548e1cb2c,VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>AGRESSAO>HONRA.DIFAMACAO>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>HONRA.INJURIA
5d29d04d-7466-45ff-b268-2fa991045097,VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>VIOLACOES>GERAIS.LIBERDADE SEXUAL PSIQUICA > ABUSO SEXUAL PSIQUICO>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA PSIQUICA
6123d395-8a44-4958-a07c-e3cdc78ada86,VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA
ad1d8f15-dffc-4c9d-9430-cf7d51ef0820,VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>AGRESSAO>HONRA.DIFAMACAO>VIOLENCIA>AGRESSAO>HONRA.INJURIA
3d4c5ca7-7ae0-435d-9906-35e752fe7a29,VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>AGRESSAO>HONRA.INJURIA
0b52b361-9263-43a3-833a-450064a83b81,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>CRIME>VIDA.TENTATIVA DE SUICIDIO>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA
74d1ce77-2c22-49ab-ab51-8177a1e6c424,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>AGRESSAO>HONRA.INJURIA
d04fec18-553e-4efa-8fe8-b3266a811495,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.INSUBSISTENCIA MATERIAL>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.EXPOSICAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>AGRESSAO>HONRA.CALUNIA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA ECONOMICA>VIOLENCIA>VIOLACOES>GERAIS.VIOLENCIA PATRIMONIAL
c1e68bbc-0906-4054-9d43-964df98f0ffa,VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>AGRESSAO>HONRA.INJURIA>VIOLENCIA>VIOLACOES>GERAIS.CRIMES CONTRA A SEGURANCA FISICA
20c08bc9-5660-44ce-b05c-8a4acd816060,VIOLENCIA>FISICA.EXPOSICAO DE RISCO A SAUDE>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.ALIENACAO PARENTAL
62fef338-1154-4616-9d05-9504cd1a2f7d,VIOLENCIA>FISICA.MAUS TRATOS>VIOLENCIA>FISICA.LESAO CORPORAL>VIOLENCIA>FISICA.AGRESSAO>VIAS DE FATO>VIOLENCIA>PSICOLOGICA.CONSTRANGIMENTO>VIOLENCIA>PSICOLOGICA.INSUBSISTENCIA AFETIVA>VIOLENCIA>PSICOLOGICA.ASSEDIO MORAL>VIOLENCIA>PSICOLOGICA.AMEACA>COACAO>VIOLENCIA>PSICOLOGICA.TORTURA PSIQUICA>VIOLENCIA>AGRESSAO>HONRA.ASSEDIO MORAL OBJETIVO
