sk_Vitima,Id_vitima,Relacaovitimasuspeito,Sexodavitima,Orientacaosexualdavitima,Faixaetariadavitima,Deficienciadavitima,Doencararadavitima,UFdavitima,Profissaodavitima,Graudeinstrucaodavitima,RacaCordavitima,Etniadavitima,Faixaderendadavitima,Pais_da_Vitima
9a0b7388-933c-40c8-a710-377b66fa9a26,26d552d4-7f60-4ab1-afa2-4bd1f64a9b92,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,AMARELA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
05b181a9-53e5-45e8-9cb7-30cfed8e13e4,5f2fb338-e093-46a0-9135-ed60fd143508,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
55a5f30b-4d16-428b-a8b9-94084642a8bd,18d3e66d-3e2f-438d-8c89-abc2138f5f3e,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
4a089292-369b-409f-803a-9c5f15206019,5a5bee38-afea-4b39-b25f-8081748ed58b,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,INDÍGENA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
45ad5561-cb41-4289-be6c-e317b636bd08,2abaaba0-40a6-4356-8356-26fef859b7d0,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
423d620b-714d-405f-a98e-6a342ad644ff,748945dd-f717-4cf8-b768-4f9a1d784043,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,BRASIL
f8aca73f-a471-46de-9f3c-1bef9f62b686,caa333d6-9349-4299-b78c-481249bac188,NÃO INFORMADO,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
5f2c6677-4a1c-4121-ada3-caf20b34b052,7bbf569e-4c0f-47c9-9807-67b3ea5b9d95,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
78e51ba1-350c-40da-855b-1de6e8b45ea7,90faeff3-3231-4ddd-983e-1ccbedfabd05,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
c29ba62b-c0b0-4580-9854-6c1c8afab86a,b92b80be-b046-4a7b-b519-9c700399420b,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
49faeff9-aba0-4f2a-8f36-7acb8b5bb8a7,44687252-e097-4180-9ca6-85e93d7b6460,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
ef0421fd-8c9b-4925-bafd-8257c766ac26,44113169-c5ae-4a66-ad19-3125582b1ce8,PAI/MÃE,NÃO INFORMADO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO SABE INFORMAR,ANALFABETO(A),PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
d3ca9464-692c-4c6f-abde-4cf06e69a385,7146d09d-e9e3-478f-9a2f-3fdeda207d06,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,ATÉ 1 SALÁRIO MÍNIMO,BRASIL
2084879a-992d-4f4b-a796-7a3494ef958b,d563a5cb-a760-465b-b3c4-9ab1c09e19ef,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
9f50ff54-43e5-4287-b0d2-242f54095dd8,fed0ecc4-c5ba-4de1-8bc5-02eda6e8ca20,PROFESSOR(A),MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
1a3b84be-5671-4716-96a7-a84417b632e3,81a1f247-98c8-46db-a48a-7acb6db55147,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
7ce38c1b-d8a6-4d28-be99-c3b861030a1b,3b2f5251-8d66-4774-a9bd-f237f940253f,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PRETA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
1fbfdf69-1c28-49f2-8696-ffc4d447b1ac,076feec9-18a6-43f7-a279-ce0f4b32ec9a,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
d0f77057-73aa-4a28-b279-9f92ba51d2cc,4c5ae7e1-b257-4b45-a649-28658d1c3af9,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
0428513e-a371-49f5-ae72-bb6044873a86,c0915242-7ffd-40fe-9ec6-3d9db64bde71,CUNHADO(A),MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,BRASIL
bf4c076b-945e-4d2e-938a-8b2a1986cff4,64e6ddd0-b7db-420a-b65d-fbc4b4001bfb,PADRASTO/MADRASTA,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,FUNDAMENTAL INCOMPLETO,BRANCA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
501e613a-be57-4f4a-bd31-514d177265fb,4860ebab-6226-4e48-9aef-725fca66e355,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO TEM DEFICIÊNCIA,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
6e6eed6e-37ed-4acd-80a9-44ab72bfb5de,2b687693-ced6-4e5d-afa4-3af0fc985ed1,AVÔ(Ó),FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
4d1c955a-306c-446f-9399-7d307d0652e7,dc56074d-54e0-4d14-beed-435044fada22,PAI/MÃE,MASCULINO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,ESTUDANTE,FUNDAMENTAL INCOMPLETO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
8d40e4fc-3108-4c79-9582-61d22c6d727f,ea331576-1953-4128-84f9-bb15be26b401,PAI/MÃE,FEMININO,NÃO INFORMADO,0 a 9 ANOS,NÃO INFORMADO,NÃO POSSUI DOENÇA RARA,AC,NÃO INFORMADO,NÃO INFORMADO,PARDA,NÃO INFORMADO,NÃO INFORMADO,BRASIL
