Canaldeatendimento,Cenariodaviolacao,Denunciaemergencial,Denunciante,Pais,UF,Frequencia,Iniciodasviolacoes,sl_quantidade_vitimas,Motivacao,sk_Vitima,sk_Datadecadastro,sk_GrupoVulnerario,sk_Suspeito,sk_tipoViolacao
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,MG,DIARIAMENTE,HÁ UM MÊS,1.0,DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA,0be10ccb-eb8f-43ba-a9c4-59ab148d4869,00606495-5a2e-4391-a29e-a68885516105,aa06b3d4-3a3b-4b0a-9cb7-5bfbe4004e92,e2041b68-1a4d-453d-95be-c1b29d0891a8,915725c8-f48d-484f-9eec-3a5539e67134
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,MS,DIARIAMENTE,HÁ UM MÊS,1.0,NÃO INFORMADO,f32e3c16-558b-4901-91d2-0d1fc280a306,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,b6b0a548-df12-4442-95fa-5c9acfc7edd7,72e64a08-042c-4b11-adb6-72c87fdbdac9
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,A PRÓPRIA VÍTIMA,BRASIL,RS,DIARIAMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,58610476-2aab-4b99-89a7-47ef07720d98,00606495-5a2e-4391-a29e-a68885516105,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,45c46a6f-522a-4b07-b2ce-d07b25aeb6e7,e08c2d6a-954d-4b69-92e9-d3070aea6290
TELEFÔNICO,CASA DA VÍTIMA,NÃO,TERCEIRO,BRASIL,RJ,DIARIAMENTE,HÁ UM MÊS,2.0,NÃO INFORMADO,e052218f-5b94-4792-999e-ba873b32901b,00606495-5a2e-4391-a29e-a68885516105,e4d3855f-dbd7-414d-9031-8dd3e7a112e1,64f71ff2-8e06-4954-8e6e-9c38ed78adcc,72e64a08-042c-4b11-adb6-72c87fdbdac9
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,MG,DIARIAMENTE,HÁ UM MÊS,2.0,DA COABITAÇÃO/ CONVIVÊNCIA FAMILIAR/ RELAÇÃO AFETIVA,922ebaa8-27f6-48e9-b2c9-1c7197204626,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,edf2511a-6ee5-4429-a75b-a15f5cfb5b02,d71f03ad-3e85-4e2e-bda8-265c9bd750b8
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,SC,DIARIAMENTE,HÁ UM MÊS,2.0,EM RAZÃO DA IDADE,7731b193-4465-4f03-8f1e-476c5d226ac0,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,2f968843-cfc0-4685-a677-7049a941f3b2,915725c8-f48d-484f-9eec-3a5539e67134
WHATSAPP,UNIDADE PRISIONAL,NÃO,ANÔNIMO,BRASIL,RN,DIARIAMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,0449ffef-afc3-4c82-9a65-0446b11d795d,00606495-5a2e-4391-a29e-a68885516105,b708eb62-6f5c-432f-aec1-bd87f910847b,4209ab81-944c-4c5b-bc4d-78704a0816c6,1a3b1c59-a661-4ee4-9750-3aceb6414ff0
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,CE,DIARIAMENTE,HÁ UM MÊS,1.0,POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS,5e5733ff-1ad8-488e-8c59-6bd8e8e0896b,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,374797aa-eb9a-4a77-84ab-f587cc9f12fd,151c0791-2fac-4004-adca-62584213a14f
TELEFÔNICO,CASA DA VÍTIMA E DO AGRESSOR,NÃO,ANÔNIMO,BRASIL,SP,NÃO INFORMADO,HÁ UM MÊS,2.0,NÃO INFORMADO,77533d49-86b2-41a3-a15c-6c2edf0c14e6,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,6a0d5b4d-1bb3-47cd-8e2f-13a98e305004,eaccd26d-320e-460d-ac12-23e3765e3518
TELEFÔNICO,OUTROS,NÃO,TERCEIRO,BRASIL,MG,OCASIONALMENTE,HÁ UM MÊS,3.0,NA RELAÇÃO FAMILIAR,2f22b28c-f987-4a52-b847-246bbfbf0218,00606495-5a2e-4391-a29e-a68885516105,4f451b2b-7f74-4b04-832f-c7b3a352f83e,f71caeee-519b-4c3a-925a-59cc15cf065d,65945fec-8465-4aa4-a66e-e6b308e3ac7e
